year_film,year_ceremony,ceremony,category,name,film,winner
1996,1997,69,ACTOR IN A LEADING ROLE,Geoffrey Rush,Shine,TRUE
1996,1997,69,ACTOR IN A SUPPORTING ROLE,"Cuba Gooding, Jr.",Jerry Maguire,TRUE
1996,1997,69,ACTRESS IN A LEADING ROLE,Frances McDormand,Fargo,TRUE
1996,1997,69,ACTRESS IN A SUPPORTING ROLE,Juliette Binoche,The English Patient,TRUE
1996,1997,69,BEST PICTURE,"Saul Zaentz, Producer",The English Patient,TRUE
1997,1998,70,ACTOR IN A LEADING ROLE,Jack Nicholson,As Good as It Gets,TRUE
1997,1998,70,ACTOR IN A SUPPORTING ROLE,Robin Williams,Good Will Hunting,TRUE
1997,1998,70,ACTRESS IN A LEADING ROLE,Helen Hunt,As Good as It Gets,TRUE
1997,1998,70,ACTRESS IN A SUPPORTING ROLE,Kim Basinger,L.A. Confidential,TRUE
1997,1998,70,BEST PICTURE,"James Cameron and Jon Landau, Producers",Titanic,TRUE
1998,1999,71,ACTOR IN A LEADING ROLE,Roberto Benigni,Life Is Beautiful,TRUE
1998,1999,71,ACTOR IN A SUPPORTING ROLE,James Coburn,Affliction,TRUE
1998,1999,71,ACTRESS IN A LEADING ROLE,Gwyneth Paltrow,Shakespeare in Love,TRUE
1998,1999,71,ACTRESS IN A SUPPORTING ROLE,Judi Dench,Shakespeare in Love,TRUE
1998,1999,71,BEST PICTURE,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers",Shakespeare in Love,TRUE
1999,2000,72,ACTOR IN A LEADING ROLE,Kevin Spacey,American Beauty,TRUE
1999,2000,72,ACTOR IN A SUPPORTING ROLE,Michael Caine,The Cider House Rules,TRUE
1999,2000,72,ACTRESS IN A LEADING ROLE,Hilary Swank,Boys Don't Cry,TRUE
1999,2000,72,ACTRESS IN A SUPPORTING ROLE,Angelina Jolie,"Girl, Interrupted",TRUE
1999,2000,72,BEST PICTURE,"Bruce Cohen and Dan Jinks, Producers",American Beauty,TRUE
2000,2001,73,ACTOR IN A LEADING ROLE,Russell Crowe,Gladiator,TRUE
2000,2001,73,ACTOR IN A SUPPORTING ROLE,Benicio Del Toro,Traffic,TRUE
2000,2001,73,ACTRESS IN A LEADING ROLE,Julia Roberts,Erin Brockovich,TRUE
2000,2001,73,ACTRESS IN A SUPPORTING ROLE,Marcia Gay Harden,Pollock,TRUE
2000,2001,73,BEST PICTURE,"Douglas Wick, David Franzoni and Branko Lustig, Producers",Gladiator,TRUE
2001,2002,74,ACTOR IN A LEADING ROLE,Denzel Washington,Training Day,TRUE
2001,2002,74,ACTOR IN A SUPPORTING ROLE,Jim Broadbent,Iris,TRUE
2001,2002,74,ACTRESS IN A LEADING ROLE,Halle Berry,Monster's Ball,TRUE
2001,2002,74,ACTRESS IN A SUPPORTING ROLE,Jennifer Connelly,A Beautiful Mind,TRUE
2001,2002,74,ANIMATED FEATURE FILM,Aron Warner,Shrek,TRUE
2001,2002,74,BEST PICTURE,"Brian Grazer and Ron Howard, Producers",A Beautiful Mind,TRUE
2002,2003,75,ACTOR IN A LEADING ROLE,Adrien Brody,The Pianist,TRUE
2002,2003,75,ACTOR IN A SUPPORTING ROLE,Chris Cooper,Adaptation,TRUE
2002,2003,75,ACTRESS IN A LEADING ROLE,Nicole Kidman,The Hours,TRUE
2002,2003,75,ACTRESS IN A SUPPORTING ROLE,Catherine Zeta-Jones,Chicago,TRUE
2002,2003,75,ANIMATED FEATURE FILM,Hayao Miyazaki,Spirited Away,TRUE
2002,2003,75,BEST PICTURE,"Martin Richards, Producer",Chicago,TRUE
2003,2004,76,ACTOR IN A LEADING ROLE,Sean Penn,Mystic River,TRUE
2003,2004,76,ACTOR IN A SUPPORTING ROLE,Tim Robbins,Mystic River,TRUE
2003,2004,76,ACTRESS IN A LEADING ROLE,Charlize Theron,Monster,TRUE
2003,2004,76,ACTRESS IN A SUPPORTING ROLE,Renée Zellweger,Cold Mountain,TRUE
2003,2004,76,ANIMATED FEATURE FILM,Andrew Stanton,Finding Nemo,TRUE
2003,2004,76,BEST PICTURE,"Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers",The Lord of the Rings: The Return of the King,TRUE
2004,2005,77,ACTOR IN A LEADING ROLE,Jamie Foxx,Ray,TRUE
2004,2005,77,ACTOR IN A SUPPORTING ROLE,Morgan Freeman,Million Dollar Baby,TRUE
2004,2005,77,ACTRESS IN A LEADING ROLE,Hilary Swank,Million Dollar Baby,TRUE
2004,2005,77,ACTRESS IN A SUPPORTING ROLE,Cate Blanchett,The Aviator,TRUE
2004,2005,77,ANIMATED FEATURE FILM,Brad Bird,The Incredibles,TRUE
2004,2005,77,BEST PICTURE,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers",Million Dollar Baby,TRUE
2005,2006,78,ACTOR IN A LEADING ROLE,Philip Seymour Hoffman,Capote,TRUE
2005,2006,78,ACTOR IN A SUPPORTING ROLE,George Clooney,Syriana,TRUE
2005,2006,78,ACTRESS IN A LEADING ROLE,Reese Witherspoon,Walk the Line,TRUE
2005,2006,78,ACTRESS IN A SUPPORTING ROLE,Rachel Weisz,The Constant Gardener,TRUE
2005,2006,78,ANIMATED FEATURE FILM,Nick Park and Steve Box,Wallace & Gromit in The Curse of the Were-Rabbit,TRUE
2005,2006,78,BEST PICTURE,"Paul Haggis and Cathy Schulman, Producers",Crash,TRUE
2006,2007,79,ACTOR IN A LEADING ROLE,Forest Whitaker,The Last King of Scotland,TRUE
2006,2007,79,ACTOR IN A SUPPORTING ROLE,Alan Arkin,Little Miss Sunshine,TRUE
2006,2007,79,ACTRESS IN A LEADING ROLE,Helen Mirren,The Queen,TRUE
2006,2007,79,ACTRESS IN A SUPPORTING ROLE,Jennifer Hudson,Dreamgirls,TRUE
2006,2007,79,ANIMATED FEATURE FILM,George Miller,Happy Feet,TRUE
2006,2007,79,BEST PICTURE,"Graham King, Producer",The Departed,TRUE
2007,2008,80,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,There Will Be Blood,TRUE
2007,2008,80,ACTOR IN A SUPPORTING ROLE,Javier Bardem,No Country for Old Men,TRUE
2007,2008,80,ACTRESS IN A LEADING ROLE,Marion Cotillard,La Vie en Rose,TRUE
2007,2008,80,ACTRESS IN A SUPPORTING ROLE,Tilda Swinton,Michael Clayton,TRUE
2007,2008,80,ANIMATED FEATURE FILM,Brad Bird,Ratatouille,TRUE
2007,2008,80,BEST PICTURE,"Scott Rudin, Ethan Coen and Joel Coen, Producers",No Country for Old Men,TRUE
2008,2009,81,ACTOR IN A LEADING ROLE,Sean Penn,Milk,TRUE
2008,2009,81,ACTOR IN A SUPPORTING ROLE,Heath Ledger,The Dark Knight,TRUE
2008,2009,81,ACTRESS IN A LEADING ROLE,Kate Winslet,The Reader,TRUE
2008,2009,81,ACTRESS IN A SUPPORTING ROLE,Penélope Cruz,Vicky Cristina Barcelona,TRUE
2008,2009,81,ANIMATED FEATURE FILM,Andrew Stanton,WALL-E,TRUE
2008,2009,81,BEST PICTURE,"Christian Colson, Producer",Slumdog Millionaire,TRUE
2009,2010,82,ACTOR IN A LEADING ROLE,Jeff Bridges,Crazy Heart,TRUE
2009,2010,82,ACTOR IN A SUPPORTING ROLE,Christoph Waltz,Inglourious Basterds,TRUE
2009,2010,82,ACTRESS IN A LEADING ROLE,Sandra Bullock,The Blind Side,TRUE
2009,2010,82,ACTRESS IN A SUPPORTING ROLE,Mo'Nique,Precious: Based on the Novel 'Push' by Sapphire,TRUE
2009,2010,82,ANIMATED FEATURE FILM,Pete Docter,Up,TRUE
2009,2010,82,BEST PICTURE,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers",The Hurt Locker,TRUE
2010,2011,83,ACTOR IN A LEADING ROLE,Colin Firth,The King's Speech,TRUE
2010,2011,83,ACTOR IN A SUPPORTING ROLE,Christian Bale,The Fighter,TRUE
2010,2011,83,ACTRESS IN A LEADING ROLE,Natalie Portman,Black Swan,TRUE
2010,2011,83,ACTRESS IN A SUPPORTING ROLE,Melissa Leo,The Fighter,TRUE
2010,2011,83,ANIMATED FEATURE FILM,Lee Unkrich,Toy Story 3,TRUE
2010,2011,83,BEST PICTURE,"Iain Canning, Emile Sherman and Gareth Unwin, Producers",The King's Speech,TRUE
2011,2012,84,ACTOR IN A LEADING ROLE,Jean Dujardin,The Artist,TRUE
2011,2012,84,ACTOR IN A SUPPORTING ROLE,Christopher Plummer,Beginners,TRUE
2011,2012,84,ACTRESS IN A LEADING ROLE,Meryl Streep,The Iron Lady,TRUE
2011,2012,84,ACTRESS IN A SUPPORTING ROLE,Octavia Spencer,The Help,TRUE
2011,2012,84,ANIMATED FEATURE FILM,Gore Verbinski,Rango,TRUE
2011,2012,84,BEST PICTURE,"Thomas Langmann, Producer",The Artist,TRUE
2012,2013,85,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,Lincoln,TRUE
2012,2013,85,ACTOR IN A SUPPORTING ROLE,Christoph Waltz,Django Unchained,TRUE
2012,2013,85,ACTRESS IN A LEADING ROLE,Jennifer Lawrence,Silver Linings Playbook,TRUE
2012,2013,85,ACTRESS IN A SUPPORTING ROLE,Anne Hathaway,Les Misérables,TRUE
2012,2013,85,ANIMATED FEATURE FILM,Mark Andrews and Brenda Chapman,Brave,TRUE
2012,2013,85,BEST PICTURE,"Grant Heslov, Ben Affleck and George Clooney, Producers",Argo,TRUE
2013,2014,86,ACTOR IN A LEADING ROLE,Matthew McConaughey,Dallas Buyers Club,TRUE
2013,2014,86,ACTOR IN A SUPPORTING ROLE,Jared Leto,Dallas Buyers Club,TRUE
2013,2014,86,ACTRESS IN A LEADING ROLE,Cate Blanchett,Blue Jasmine,TRUE
2013,2014,86,ACTRESS IN A SUPPORTING ROLE,Lupita Nyong'o,12 Years a Slave,TRUE
2013,2014,86,ANIMATED FEATURE FILM,"Chris Buck, Jennifer Lee and Peter Del Vecho",Frozen,TRUE
2013,2014,86,BEST PICTURE,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers",12 Years a Slave,TRUE
2014,2015,87,ACTOR IN A LEADING ROLE,Eddie Redmayne,The Theory of Everything,TRUE
2014,2015,87,ACTOR IN A SUPPORTING ROLE,J.K. Simmons,Whiplash,TRUE
2014,2015,87,ACTRESS IN A LEADING ROLE,Julianne Moore,Still Alice,TRUE
2014,2015,87,ACTRESS IN A SUPPORTING ROLE,Patricia Arquette,Boyhood,TRUE
2014,2015,87,ANIMATED FEATURE FILM,"Don Hall, Chris Williams and Roy Conli",Big Hero 6,TRUE
2014,2015,87,BEST PICTURE,"Alejandro G. Iñárritu, John Lesher and James W. Skotchdopole, Producers",Birdman or (The Unexpected Virtue of Ignorance),TRUE
2015,2016,88,ACTOR IN A LEADING ROLE,Leonardo DiCaprio,The Revenant,TRUE
2015,2016,88,ACTOR IN A SUPPORTING ROLE,Mark Rylance,Bridge of Spies,TRUE
2015,2016,88,ACTRESS IN A LEADING ROLE,Brie Larson,Room,TRUE
2015,2016,88,ACTRESS IN A SUPPORTING ROLE,Alicia Vikander,The Danish Girl,TRUE
2015,2016,88,ANIMATED FEATURE FILM,Pete Docter and Jonas Rivera,Inside Out,TRUE
2015,2016,88,BEST PICTURE,"Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust, Producers",Spotlight,TRUE
2016,2017,89,ACTOR IN A LEADING ROLE,Casey Affleck,Manchester by the Sea,TRUE
2016,2017,89,ACTOR IN A SUPPORTING ROLE,Mahershala Ali,Moonlight,TRUE
2016,2017,89,ACTRESS IN A LEADING ROLE,Emma Stone,La La Land,TRUE
2016,2017,89,ACTRESS IN A SUPPORTING ROLE,Viola Davis,Fences,TRUE
2016,2017,89,ANIMATED FEATURE FILM,"Byron Howard, Rich Moore and Clark Spencer",Zootopia,TRUE
2016,2017,89,BEST PICTURE,"Adele Romanski, Dede Gardner and Jeremy Kleiner, Producers",Moonlight,TRUE
2017,2018,90,ACTOR IN A LEADING ROLE,Gary Oldman,Darkest Hour,TRUE
2017,2018,90,ACTOR IN A SUPPORTING ROLE,Sam Rockwell,"Three Billboards outside Ebbing, Missouri",TRUE
2017,2018,90,ACTRESS IN A LEADING ROLE,Frances McDormand,"Three Billboards outside Ebbing, Missouri",TRUE
2017,2018,90,ACTRESS IN A SUPPORTING ROLE,Allison Janney,"I, Tonya",TRUE
2017,2018,90,ANIMATED FEATURE FILM,Lee Unkrich and Darla K. Anderson,Coco,TRUE
2017,2018,90,BEST PICTURE,"Guillermo del Toro and J. Miles Dale, Producers",The Shape of Water,TRUE
2018,2019,91,ACTOR IN A LEADING ROLE,Rami Malek,Bohemian Rhapsody,TRUE
2018,2019,91,ACTOR IN A SUPPORTING ROLE,Mahershala Ali,Green Book,TRUE
2018,2019,91,ACTRESS IN A LEADING ROLE,Olivia Colman,The Favourite,TRUE
2018,2019,91,ACTRESS IN A SUPPORTING ROLE,Regina King,If Beale Street Could Talk,TRUE
2018,2019,91,ANIMATED FEATURE FILM,"Bob Persichetti, Peter Ramsey, Rodney Rothman, Phil Lord and Christopher Miller",Spider-Man: Into the Spider-Verse,TRUE
2018,2019,91,BEST PICTURE,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly and Nick Vallelonga, Producers",Green Book,TRUE
2019,2020,92,ACTOR IN A LEADING ROLE,Joaquin Phoenix,Joker,TRUE
2019,2020,92,ACTOR IN A SUPPORTING ROLE,Brad Pitt,Once upon a Time...in Hollywood,TRUE
2019,2020,92,ACTRESS IN A LEADING ROLE,Renée Zellweger,Judy,TRUE
2019,2020,92,ACTRESS IN A SUPPORTING ROLE,Laura Dern,Marriage Story,TRUE
2019,2020,92,ANIMATED FEATURE FILM,"Josh Cooley, Mark Nielsen and Jonas Rivera",Toy Story 4,TRUE
2019,2020,92,BEST PICTURE,"Kwak Sin Ae and Bong Joon Ho, Producers",Parasite,TRUE
