title,Adjusted Budget,Adjusted Domestic,Adjusted International,Adjusted Worldwide
Crush,8760000.0,1584005.0999999999,3811731.5,5395736.6
Thir13en Ghosts,61320000.0,61127221.6,38836000.0,99963221.6
Joe Dirt,25842000.0,39548034.699999996,5694000.0,45242034.699999996
Kingdom Come,10220000.0,33944487.54,213744.0,34158231.54
The Musketeer,58400000.0,39527514.4,7971836.52,47499350.92
Donnie Darko,8760000.0,2158599.78,8030876.0,10189475.78
In the Bedroom,2482000.0,52458681.839999996,12895562.42,65354244.26
The Princess Diaries,37960000.0,158043475.76,83345847.62,241389323.38
Ali,156220000.0,84976533.3,43230051.04,128206584.34
Domestic Disturbance,109500000.0,66059298.699999996,13144670.54,79203969.24
Crazy/Beautiful,18980000.0,24729462.48,4380000.0,29109462.48
The Brothers,8760000.0,40087817.14,731141.72,40818958.86
The Deep End,4380000.0,12881739.14,1764293.2,14646032.34
See Spot Run,51100000.0,48701914.96,14162110.959999999,62864025.92
Evolution,116800000.0,55984421.24,87644965.08,143629386.32
All the Queen's Men,21900000.0,34546.52,142490.16,177036.68
Buffalo Soldiers,21900000.0,517454.66,2841543.98,3358998.64
Hearts in Atlantis,45260000.0,35311240.26,9831105.64,45142345.9
Heist,56940000.0,34325827.86,7299724.06,41625551.92
High Heels and Low Lifes,14600000.0,333163.24,3083836.82,3417000.06
Out Cold,35040000.0,20303335.24,1279371.72,21582706.96
The Animal,68620000.0,84304870.52,40074185.12,124379055.64
Baby Boy,23360000.0,41952445.92,944761.62,42897207.54
Shallow Hal,58400000.0,103425236.38,102536759.22,205961995.6
Vanilla Sky,99280000.0,146902782.24,150044195.62,296946977.86
Don't Say a Word,73000000.0,80302397.32,65726937.0,146029334.32
Jeepers Creepers,14600000.0,55340095.5,31342006.88,86682102.38
Frailty,16060000.0,19141254.08,6296369.72,25437623.8
Kissing Jessica Stein,1460000.0,10257554.12,4362044.92,14619599.04
America's Sweethearts,67160000.0,136667202.57999998,65262000.0,201929202.57999998
Black Hawk Down,134320000.0,158612567.7,93952322.75999999,252564890.46
Black Knight,73000000.0,48803377.66,9561925.44,58365303.1
The Royal Tenenbaums,30660000.0,76451454.6,27852770.4,104304225.0
Rush Hour 2,131400000.0,330199857.56,176895813.35999998,507095670.92
Spy Game,167900000.0,91049337.6,117803020.0,208852357.6
A Beautiful Mind,84680000.0,249283817.85999998,213231417.35999998,462515235.21999997
The Majestic,105120000.0,40598608.36,13885026.32,54483634.68
Two Can Play That Game,18980000.0,32464415.46,227101.54,32691517.0
Kiss of the Dragon,36500000.0,53793881.04,40285375.58,94079256.62
The Last Castle,105120000.0,26636327.599999998,13722024.62,40358352.22
K-PAX,99280000.0,73494188.1,21407980.0,94902168.1
Max Keeble's Big Move,36500000.0,25249667.78,1956927.06,27206594.84
On the Line,23360000.0,6373564.3,261553.16,6635117.46
Joe Somebody,55480000.0,33246603.16,2547883.96,35794487.12
Gosford Park,28908000.0,60310577.9,67810326.34,128120904.24
Monster's Ball,5840000.0,45659926.12,20056767.52,65716693.64
Frida,17280000.0,37274400.0,43795402.559999995,81069802.56
Resident Evil,47520000.0,57772380.96,90525820.32,148298201.28
Men in Black II,201600000.0,278978814.71999997,362016000.0,640994814.72
Star Wars: Episode II - Attack of the Clones,165600000.0,447374505.59999996,494068651.2,941443156.8
Treasure Planet,201600000.0,54974567.519999996,103484995.2,158459562.72
Spider-Man,200160000.0,586112918.4,601923133.4399999,1188036051.84
Clockstoppers,37440000.0,53265536.64,2596790.88,55862327.519999996
Eye See You,79200000.0,113991.84,9436639.68,9550631.52
The Sum of All Fears,97920000.0,171226131.84,108020643.83999999,279246775.68
The Lord of the Rings: The Two Towers,135360000.0,493273965.59999996,876465682.56,1369739648.1599998
Antwone Fisher,18000000.0,30352528.799999997,3296795.04,33649323.839999996
Moonlight Mile,30240000.0,9843632.639999999,4572279.359999999,14415912.0
The Adventures of Pluto Nash,144000000.0,6364915.2,3864805.92,10229721.12
Minority Report,146880000.0,190185013.44,325872000.0,516057013.44
Phone Booth,18720000.0,67055345.28,73830133.44,140885478.72
Blade II,77760000.0,118581579.36,104632866.72,223214446.07999998
Gangs of New York,144000000.0,112049280.0,166983125.76,279032405.76
Halloween: Resurrection,18720000.0,43710396.48,10526994.719999999,54237391.199999996
Collateral Damage,122400000.0,57711250.08,55159453.44,112870703.52
Queen of the Damned,50400000.0,43684992.0,21804926.4,65489918.4
Kung Pow: Enter the Fist,14400000.0,23094665.279999997,1377594.72,24472260.0
The Four Feathers,50400000.0,26360879.04,16670129.76,43031008.8
Slackers,20160000.0,7611755.04,1624282.56,9236037.6
Stuart Little 2,172800000.0,93537800.64,151200000.0,244737800.64
Windtalkers,165600000.0,58916257.919999994,52868443.68,111784701.6
The Count of Monte Cristo,50400000.0,78097049.28,30471819.84,108568869.11999999
Die Another Day,204480000.0,231756680.16,390281726.88,622038407.04
Big Trouble,57600000.0,10464922.08,1766279.52,12231201.6
Rollerball,100800000.0,27346749.119999997,9881231.04,37227980.16
Unfaithful,72000000.0,75997101.6,95561307.36,171558408.96
Hart's War,100800000.0,27471803.04,19021540.32,46493343.36
John Q,51840000.0,103329794.88,43902673.92,147232468.79999998
Maid in Manhattan,79200000.0,135376164.0,87689473.92,223065637.92
The Pianist,50400000.0,46904510.879999995,126000000.0,172904510.88
Reign of Fire,86400000.0,62009254.08,56287009.44,118296263.52
Star Trek: Nemesis,86400000.0,62286348.96,34678167.839999996,96964516.8
The Sweetest Thing,61920000.0,35594156.16,64225817.28,99819973.44
Sweet Home Alabama,43200000.0,183201721.92,76894568.64,260096290.56
Road to Perdition,115200000.0,150414857.28,110227271.03999999,260642128.32
About Schmidt,43200000.0,93623453.28,58778307.36,152401760.64
High Crimes,60480000.0,59823240.48,32022565.919999998,91845806.39999999
Panic Room,69120000.0,138812160.96,144982385.28,283794546.24
The Quiet American,43200000.0,18703873.439999998,21146865.12,39850738.559999995
The Bourne Identity,86400000.0,175192823.51999998,133016459.03999999,308209282.56
Dragonfly,86400000.0,43665696.0,31680000.0,75345696.0
My Big Fat Greek Wedding,7200000.0,347671019.52,183320403.84,530991423.35999995
Serving Sara,41760000.0,24379466.4,4630989.6,29010456.0
Empire,5760000.0,25344609.119999997,1426822.56,26771431.68
Catch Me If You Can,74880000.0,237046105.44,269998503.84,507044609.28
Changing Lanes,64800000.0,96218709.11999999,40488791.04,136707500.16
Murder by Numbers,72000000.0,46001878.559999995,35666493.12,81668371.67999999
Big Fat Liar,21600000.0,69639187.67999999,6637632.4799999995,76276820.16
The Mothman Prophecies,46080000.0,51474772.8,28164828.959999997,79639601.75999999
One Hour Photo,17280000.0,45499868.64,29701692.0,75201560.64
Death to Smoochy,72000000.0,12045155.04,26275.68,12071430.719999999
Abandon,36000000.0,15447863.52,2267331.84,17715195.36
K-19: The Widowmaker,144000000.0,50643311.04,43987910.4,94631221.44
Scooby-Doo,120960000.0,220743596.16,176193416.16,396937012.32
Adaptation.,27360000.0,32397868.799999997,14835820.32,47233689.12
The Time Machine,115200000.0,81838791.36,96331222.08,178170013.44
City by the Sea,57600000.0,32326560.0,10407892.32,42734452.32
Confessions of a Dangerous Mind,43200000.0,23051113.919999998,24488765.279999997,47539879.199999996
Eight Legged Freaks,43200000.0,24944552.64,41104406.879999995,66048959.519999996
Narc,9360000.0,15070548.959999999,3122046.7199999997,18192595.68
Ararat,22320000.0,2240580.96,1709822.88,3950403.84
The Hours,36000000.0,60013431.36,96724912.32,156738343.68
Crossroads,17280000.0,53555477.76,34487605.44,88043083.2
About a Boy,43200000.0,59594800.32,128396414.88,187991215.2
The Scorpion King,86400000.0,131107790.88,129000715.19999999,260108506.07999998
We Were Soldiers,108000000.0,112496713.92,53643163.68,166139877.6
All About the Benjamins,21600000.0,37319499.36,561908.16,37881407.519999996
Enough,54720000.0,57611148.48,16989756.48,74600904.96
Insomnia,66240000.0,96991938.72,66820690.08,163812628.79999998
Spider,14400000.0,2365175.52,5999699.52,8364875.04
The Good Girl,11520000.0,20186346.24,4093441.92,24279788.16
Dark Blue,21600000.0,13320433.44,4176000.0,17496433.439999998
Trapped,43200000.0,10185481.44,9131277.6,19316759.04
The Banger Sisters,14400000.0,43642679.04,11175749.28,54818428.32
Better Luck Tomorrow,360000.0,5475441.6,9843.84,5485285.4399999995
Bad Company,100800000.0,43430631.839999996,51898494.239999995,95329126.08
Mr. Deeds,72000000.0,181862570.88,64765559.519999996,246628130.39999998
Igby Goes Down,12960000.0,6879549.6,3084095.52,9963645.12
Undisputed,28800000.0,18381106.08,3141349.92,21522456.0
A Walk to Remember,16992000.0,59444772.48,8947906.56,68392679.03999999
Snow Dogs,47520000.0,116888486.39999999,48762043.199999996,165650529.6
The Good Thief,43200000.0,5065627.68,3224373.12,8290000.8
Life or Something Like It,57600000.0,20805968.16,3490678.08,24296646.24
Swimfan,14400000.0,41133592.8,8418592.799999999,49552185.6
Van Wilder: Party Liaison,7200000.0,30679572.959999997,24437122.56,55116695.519999996
They,24480000.0,18490812.48,5191817.76,23682630.24
Showtime,122400000.0,54839105.28,57316262.4,112155367.67999999
Signs,103680000.0,328271952.96,259605047.51999998,587877000.48
Close Your Eyes,14400000.0,59604.479999999996,936148.32,995752.7999999999
Spy Kids 2: Island of Lost Dreams,54720000.0,123618857.75999999,48782777.76,172401635.51999998
28 Days Later...,11520000.0,64893477.599999994,58543876.8,123437354.39999999
The Powerpuff Girls Movie,15840000.0,16433876.16,7220242.08,23654118.24
Red Dragon,112320000.0,134135853.11999999,167106816.0,301242669.12
Analyze That,86400000.0,46268102.879999995,32936411.52,79204514.39999999
The Tuxedo,86400000.0,72789117.11999999,77534820.0,150323937.12
Full Frontal,2880000.0,3618498.2399999998,1333379.52,4951877.76
Swept Away,14400000.0,862048.7999999999,630540.0,1492588.8
No Good Deed,17280000.0,261504.0,1813036.3199999998,2074540.3199999998
The Rules of Attraction,5760000.0,9406971.36,7632292.319999999,17039263.68
The Transporter,30240000.0,36426883.68,26830778.4,63257662.08
Austin Powers in Goldmember,90720000.0,307163360.15999997,120428513.28,427591873.44
Feardotcom,57600000.0,19091878.56,8127023.04,27218901.599999998
Harry Potter and the Chamber of Secrets,144000000.0,377928195.84,888502258.0799999,1266430455.36
The Master of Disguise,23040000.0,58159863.36,4351978.08,62511841.44
xXx,100800000.0,204637510.07999998,194888160.0,399525670.08
Brown Sugar,11520000.0,39404003.04,1371686.4,40775689.44
I Spy,100800000.0,48328037.28,25668489.599999998,73996526.88
The Ring,69120000.0,185944511.51999998,173117952.0,359062463.52
Whale Rider,5040000.0,29922719.04,29207966.4,59130685.44
Hero,44640000.0,77342427.36,178107174.72,255449602.07999998
Blue Crush,36000000.0,58162531.68,16492366.08,74654897.75999999
Barbershop,17280000.0,109126231.2,1845819.3599999999,110972050.56
Drumline,28800000.0,81214824.96,1712593.44,82927418.39999999
The Crocodile Hunter: Collision Course,17280000.0,40957306.559999995,6681562.56,47638869.12
Solaris,67680000.0,21561670.08,21642301.439999998,43203971.519999996
Ballistic: Ecks vs. Sever,100800000.0,20603466.72,8419587.84,29023054.56
Like Mike,43200000.0,74063174.39999999,15612508.799999999,89675683.2
Blood Work,72000000.0,37778516.64,8005877.279999999,45784393.92
Two Weeks Notice,86400000.0,134430985.44,152191283.04,286622268.48
Jackass: The Movie,7200000.0,92527649.28,21943467.36,114471116.64
Wilbur Wants to Kill Himself,5760000.0,338823.36,2358990.7199999997,2697814.08
Cold Mountain,111390000.0,134847477.69,109101570.0,243949047.69
The Lord of the Rings: The Return of the King,132539999.99999999,532762726.04999995,1077766629.36,1610529355.4099998
Bad Boys II,183300000.0,195437906.04,189970867.92,385408773.96
Terminator 3: Rise of the Machines,282000000.0,212023267.92,399030000.0,611053267.92
The Fighting Temptations,42300000.0,42653550.449999996,5247056.97,47900607.419999994
The Matrix Reloaded,211500000.0,397022810.01,648980697.18,1046003507.1899999
The Matrix Revolutions,211500000.0,196432666.67999998,406122417.03,602555083.7099999
Bulletproof Monk,73320000.0,32935778.279999997,20240791.11,53176569.39
S.W.A.T.,112800000.0,164877856.5,128015294.49,292893150.99
Uptown Girls,28200000.0,52427316.54,10483135.68,62910452.22
A Man Apart,50760000.0,37697898.18,24836907.48,62534805.66
Kill Bill: Vol. 1,42300000.0,98839653.44999999,156228000.0,255067653.45
Marci X,28200000.0,2324833.38,37912.079999999994,2362745.46
The Hunted,77550000.0,48284176.769999996,16663027.499999998,64947204.269999996
My Boss's Daughter,19740000.0,21926353.049999997,3722964.0,25649317.049999997
Johnny English,56400000.0,39596136.059999995,186660923.94,226257060.0
Gods and Generals,78960000.0,18164936.939999998,57812.82,18222749.759999998
Darkness Falls,15510000.0,45897468.36,21061367.4,66958835.76
Dreamcatcher,95880000.0,47538764.76,67010207.699999996,114548972.46
Once Upon a Time in Mexico,40890000.0,79467289.8,59797550.099999994,139264839.9
Owning Mahowny,14100000.0,1426738.1099999999,365715.93,1792454.0399999998
Hulk,193170000.0,186369899.94,159482182.70999998,345852082.65
What a Girl Wants,35250000.0,50908660.529999994,20623655.459999997,71532315.99
Scorched,9870000.0,11280.0,509283.54,520563.54
Daredevil,109980000.0,144586360.38,108057042.0,252643402.38
Young Adam,9024000.0,1081995.93,2530170.27,3612166.1999999997
The Life of David Gale,53580000.0,28137393.18,26790000.0,54927393.18
X2: X-Men United,155100000.0,303079068.53999996,271794215.55,574873284.0899999
Beyond Borders,49350000.0,6246442.409999999,10257610.41,16504052.819999998
A Guy Thing,28200000.0,21919057.709999997,2660292.1199999996,24579349.83
The Core,84600000.0,43973523.36,59659518.15,103633041.50999999
Gigli,76140000.0,8583434.219999999,1661920.47,10245354.69
I Capture the Castle,11280000.0,1662439.3499999999,7624301.46,9286740.809999999
Shanghai Knights,70500000.0,85272389.52,39263727.15,124536116.66999999
Timeline,112800000.0,27469539.63,34479886.199999996,61949425.83
Charlie's Angels: Full Throttle,169200000.0,142170456.51,223267404.57,365437861.08
Just Married,25380000.0,79139298.42,64067259.93,143206558.35
Scary Movie 3,67680000.0,155104535.97,156044700.0,311149235.96999997
Cradle 2 the Grave,35250000.0,48944409.269999996,30705867.509999998,79650276.78
Lizzie McGuire,23970000.0,60255581.55,18048000.0,78303581.55
Bad Santa,32430000.0,84685062.47999999,23164271.009999998,107849333.49
The Human Stain,42300000.0,7588490.279999999,24776745.599999998,32365235.88
Identity,39480000.0,73544945.75999999,53721000.0,127265945.75999999
Luther,42300000.0,8165772.4799999995,33616311.96,41782084.44
Willard,28200000.0,9709385.49,2366680.77,12076066.26
Confidence,21150000.0,17274812.4,15175218.059999999,32450030.459999997
Master and Commander: The Far Side of the World,211500000.0,132438367.19999999,165949407.14999998,298387774.34999996
Holes,28200000.0,95043267.92999999,5640000.0,100683267.92999999
The League of Extraordinary Gentlemen,109980000.0,93715937.64,159048000.0,252763937.64
Pieces of April,423000.0,3565416.2399999998,1062656.3699999999,4628072.609999999
The Cat in the Hat,153690000.0,142620491.85,46263870.96,188884362.81
Veronica Guerin,23970000.0,2215820.6399999997,11094099.959999999,13309920.6
Out of Time,70500000.0,57935271.449999996,20313472.38,78248743.83
Runaway Jury,84600000.0,69715515.47999999,43301821.919999994,113017337.39999999
Agent Cody Banks,39480000.0,67593045.3,15309052.44,82902097.74
Love Actually,56400000.0,84171563.03999999,261182227.01999998,345353790.06
Tears of the Sun,105750000.0,61666175.16,60253933.26,121920108.41999999
Bruce Almighty,114210000.0,342389258.01,340886694.33,683275952.3399999
21 Grams,28200000.0,22969571.16,62233681.83,85203252.99
House of Sand and Fog,23265000.0,18386806.08,5250157.56,23636963.639999997
Open Range,31020000.0,82247068.14,14050704.989999998,96297773.13
Peter Pan,141000000.0,68332277.28,103652488.22999999,171984765.51
Radio,49350000.0,73790570.58,1353444.9,75144015.47999999
Daddy Day Care,84600000.0,147058856.01,84792896.46,231851752.47
House of the Dead,16920000.0,14452103.79,5031531.42,19483635.209999997
The Italian Job,84600000.0,149641327.41,98617613.69999999,248258941.10999998
Looney Tunes: Back in Action,112800000.0,29597823.24,67008106.8,96605930.03999999
Alex & Emma,42300000.0,20048364.18,1621780.5899999999,21670144.77
Big Fish,98700000.0,94201667.13,79536310.71,173737977.84
Elf,46530000.0,246223844.39999998,66333355.529999994,312557199.93
How to Deal,22560000.0,20015270.07,275093.82,20290363.89
Underworld,31020000.0,73278672.89999999,61670251.47,134948924.37
2 Fast 2 Furious,107160000.0,179288410.41,153966021.6,333254432.01
Freaky Friday,28200000.0,155424768.12,71368560.0,226793328.11999997
Honey,25380000.0,42734867.97,45007168.98,87742036.94999999
The Mother,3525000.0,1499059.8299999998,2786757.84,4285817.67
Shade,14100000.0,35295.119999999995,612033.0599999999,647328.1799999999
Lara Croft Tomb Raider: The Cradle of Life,133949999.99999999,92580876.36,133159026.66,225739903.01999998
The Last Samurai,197400000.0,156689440.82999998,484335000.0,641024440.8299999
Pirates of the Caribbean: The Curse of the Black Pearl,197400000.0,430633624.38,491878636.77,922512261.15
Biker Boyz,33840000.0,31128248.52,2021727.0899999999,33149975.61
Good Boy,25380000.0,53111521.86,11030246.7,64141768.559999995
Mystic River,35250000.0,127090619.30999999,93708600.0,220799219.30999997
Secondhand Lions,42300000.0,59320023.989999995,8726969.4,68046993.39
The Rundown,119850000.0,67294142.22,46890356.519999996,114184498.74
Malibu's Most Wanted,21150000.0,48549403.41,268327.23,48817730.64
Under the Tuscan Sun,25380000.0,61491119.43,21527880.0,83018999.42999999
Freddy vs. Jason,42300000.0,116497943.55,47954061.93,164452005.48
Seabiscuit,122670000.0,169591774.14,39562613.309999995,209154387.45
Hollywood Homicide,105750000.0,43626374.309999995,28484774.88,72111149.19
School of Rock,49350000.0,114578259.57,70266556.17,184844815.73999998
Intermission,7050000.0,1264760.13,6032293.02,7297053.149999999
The Company,21150000.0,3220318.7399999998,5824855.2299999995,9045173.969999999
Lost in Translation,5640000.0,62865488.73,104481000.0,167346488.73
Something's Gotta Give,112800000.0,175867520.57999998,198246000.0,374113520.58
Calendar Girls,14100000.0,43768880.19,87926190.0,131695070.19
Grind,8460000.0,7224411.359999999,24632.699999999997,7249044.06
The Haunted Mansion,126900000.0,106944645.05999999,150084630.0,257029275.05999997
Paycheck,84600000.0,75844535.91,89476494.86999999,165321030.78
Spy Kids 3-D: Game Over,53580000.0,157584394.62,120328971.36,277913365.97999996
The Statement,38070000.0,1079548.17,443000.85,1522549.02
Monster,11280000.0,48601586.099999994,33840000.0,82441586.1
Gothika,56400000.0,84169357.8,115474409.03999999,199643766.84
Cheaper by the Dozen,56400000.0,195446507.04,73212961.25999999,268659468.3
Open Water,705000.0,43161316.83,33942399.839999996,77103716.67
The Visual Bible: The Gospel of John,14100000.0,5737416.899999999,13607.91,5751024.81
Hellboy,90420000.0,81684822.46000001,54464386.99,136149209.45000002
Thunderbirds,78090000.0,9426856.290000001,29321726.400000002,38748582.690000005
Exorcist: The Beginning,109600000.00000001,57296120.82000001,49714607.95,107010728.77000001
2046,16440000.000000002,1979085.56,24695141.87,26674227.430000003
Bad Education,6850000.000000001,7239469.080000001,48140423.150000006,55379892.230000004
The Butterfly Effect,17810000.0,79376009.41000001,53270707.36000001,132646716.77000001
Meet the Fockers,109600000.00000001,382587789.20000005,333453583.12,716041372.32
The Chronicles of Riddick,143850000.0,79132586.44000001,79651145.14,158783731.58
Jersey Girl,47950000.00000001,34617375.09,14007926.680000002,48625301.77
Harry Potter and the Prisoner of Azkaban,178100000.0,342467114.52000004,748181392.85,1090648508.74
Finding Neverland,34250000.0,70802439.81,89008900.0,159811339.81
Twisted,68500000.0,34522079.260000005,21585726.85,56107806.11000001
Spider-Man 2,274000000.0,511812580.25000006,569085160.36,1080897740.6100001
Taxi,34250000.0,50524668.400000006,47094685.71,97619354.11000001
Bridget Jones: The Edge of Reason,54800000.00000001,55109914.550000004,308113963.11,363223877.66
Hidalgo,137000000.0,92205726.5,55809925.64000001,148015652.14000002
Resident Evil: Apocalypse,61650000.00000001,70145990.61,107053602.92,177199593.53
The Alamo,146590000.0,30708496.570000004,4664850.0,35373346.57
The Day After Tomorrow,171250000.0,255834894.63000003,501281317.64000005,757116212.2700001
Laws of Attraction,43840000.0,24483619.35,16660048.030000001,41143667.38
Suspect Zero,36990000.0,11954363.81,3685658.9400000004,15640022.750000002
The Stepford Wives,123300000.00000001,81494096.54,60122977.45,141617073.99
The Whole Ten Yards,54800000.00000001,22370005.270000003,13483814.000000002,35853819.27
Around the World in 80 Days,150700000.0,32891147.69,65993938.46000001,98885086.15
Catwoman,137000000.0,55077259.230000004,57403000.00000001,112480259.23
Ella Enchanted,42470000.0,31398190.19,6124420.600000001,37522610.79000001
Man on Fire,95900000.00000001,106739130.38000001,72504616.86,179243747.24
Torque,54800000.00000001,29064630.830000002,34703659.06,63768289.89000001
The Punisher,45210000.0,46319958.93000001,28619184.92,74939143.85000001
The Notebook,39730000.0,110972448.19000001,48145552.43000001,159118000.62
Saved!,6850000.000000001,12248597.340000002,1828849.9900000002,14077447.330000002
Troy,239750000.00000003,182728210.72000003,498723286.52000004,681451497.24
Garden State,3425000.0000000005,36691772.92,12388910.000000002,49080682.92
Godsend,34250000.0,19700258.87,21565060.400000002,41265319.27
The Ladykillers,47950000.00000001,54524891.67,50506420.00000001,105031311.67
Starsky & Hutch,82200000.0,120885722.98,112382464.52000001,233268187.50000003
Win a Date with Tad Hamilton!,30140000.000000004,23388587.94,6084816.640000001,29473404.580000002
13 Going on 30,50690000.00000001,78407493.39,53736811.50000001,132144304.89000002
Barbershop 2: Back in Business,41100000.0,89202449.49000001,1205834.27,90408283.76
The Prince and Me,30140000.000000004,38601800.89,13001668.530000001,51603469.42
Birth,27400000.000000004,6980202.0600000005,25797721.98,32777924.040000003
Catch That Kid,16440000.000000002,22884204.630000003,339627.11000000004,23223831.740000002
Cellular,34250000.0,43844959.400000006,35174340.370000005,79019299.77000001
Eternal Sunshine of the Spotless Mind,27400000.000000004,47128412.370000005,54301887.18000001,101430299.55000001
Dirty Dancing: Havana Nights,34250000.0,19401378.3,18527093.62,37928471.92
Van Helsing,219200000.00000003,164642605.08,246573358.98000002,411215964.06
The Aviator,150700000.0,140576152.10000002,152220168.44,292796320.54
Lemony Snicket's A Series of Unfortunate Events,191800000.00000003,162529332.13000003,127182149.82000001,289711481.95000005
Along Came Polly,57540000.00000001,120693114.68,123593954.05000001,244287068.73000002
50 First Dates,102750000.00000001,165644061.38000003,106329618.2,271973679.58000004
"I, Robot",164400000.0,198377401.51000002,285416038.75,483793440.26000005
A Very Long Engagement,77542000.0,8938412.930000002,86173000.0,95111412.93
Connie and Carla,36990000.0,11077506.270000001,4459685.65,15537191.920000002
The SpongeBob SquarePants Movie,41100000.0,117022643.56,76239320.43,193261963.99
Sky Captain and the World of Tomorrow,95900000.00000001,51734867.49,27652571.830000002,79387439.32000001
Alexander,212350000.00000003,46987151.67,182211371.37,229198523.04000002
Steamboy,30140000.000000004,642347.79,14249823.47,14892171.260000002
The Door in the Floor,10275000.0,5280834.880000001,3918806.91,9199641.790000001
Breakin' All the Rules,13700000.000000002,16802117.03,383510.95,17185627.98
King Arthur,164400000.0,71078674.28,207809289.81,278887964.09000003
Ocean's Twelve,150700000.0,171995663.60000002,324964000.0,496959663.6
Ray,54800000.00000001,103204292.00000001,66636493.120000005,169840785.12
Walking Tall,63020000.00000001,63619672.29000001,14777057.010000002,78396729.30000001
Ginger Snaps 2: Unleashed,4795000.0,110109.64000000001,1182656.61,1292766.25
The Bridge of San Luis Rey,32880000.000000004,68473.97,2548974.0500000003,2617448.02
A Cinderella Story,26030000.000000004,70470299.75,25522735.580000002,95993035.33000001
The Forgotten,57540000.00000001,91972907.33000001,69129271.14,161102178.47
Garfield,68500000.0,103256336.93,175089874.36,278346211.29
Shall We Dance,68500000.0,79309930.2,153766060.0,233075990.20000002
Agent Cody Banks 2: Destination London,35620000.0,32373317.830000002,7108705.32,39482023.150000006
Blade: Trinity,89050000.0,71804311.22,109005417.26,180809728.48000002
A Home at the End of the World,8905000.0,1410924.6400000001,842249.9700000001,2253174.6100000003
Chasing Liberty,31510000.000000004,16708007.620000001,161244.89,16869252.51
Wimbledon,42470000.0,23291552.21,33813112.480000004,57104664.690000005
We Don't Live Here Anymore,4110000.0000000005,2796189.18,1808672.6300000001,4604861.8100000005
Bride & Prejudice,9590000.0,9049661.040000001,24811861.76,33861522.800000004
Raise Your Voice,20550000.0,14264412.600000001,6104081.58,20368494.180000003
Little Black Book,47950000.00000001,28357175.160000004,1831472.1700000002,30188647.330000002
Welcome to Mooseport,41100000.0,19825197.39,197488.24000000002,20022685.630000003
The Terminal,82200000.0,106685849.71000001,193481265.37,300167115.08000004
Kinsey,15070000.000000002,14049321.23,9309202.06,23358523.290000003
The Life Aquatic with Steve Zissou,68500000.0,32907952.110000003,14779560.000000002,47687512.11000001
New York Minute,41100000.0,19277874.17,9889187.450000001,29167061.62
Dawn of the Dead,35620000.0,80858711.09,59263124.35,140121835.44
Secret Window,54800000.00000001,65791373.00000001,61499671.27,127291044.27000001
Taking Lives,61650000.00000001,44774808.54000001,44919816.190000005,89694624.73
Dodgeball,27400000.000000004,156627628.32000002,74112192.67,230739820.99
Without a Paddle,26030000.000000004,79691977.99000001,20358012.310000002,100049990.30000001
You Got Served,10960000.0,55298419.7,13991803.15,69290222.85000001
Anacondas: The Hunt for the Blood Orchid,27400000.000000004,44167324.510000005,53092945.75000001,97260270.26
Harold & Kumar Go to White Castle,12330000.000000002,25003253.500000004,7790310.460000001,32793563.96
After the Sunset,82200000.0,38813789.21,47027489.95,85841279.16000001
The Manchurian Candidate,109600000.00000001,90359213.10000001,41305883.6,131665096.7
The Village,82200000.0,156450602.4,195225000.00000003,351675602.40000004
National Treasure,137000000.0,237022184.78000003,239069690.88000003,476091875.66
Collateral,89050000.0,138377813.11,164291759.04000002,302669572.15000004
Alien vs. Predator,82200000.0,109986656.47000001,133088456.83000001,243075113.3
Spanglish,109600000.00000001,58535810.53,17458300.450000003,75994110.98
The Bourne Supremacy,102750000.00000001,241451459.17000002,156992859.36,398444318.53000003
Team America: World Police,43840000.0,44916921.38,24715928.880000003,69632850.26
Kung Fu Hustle,27400000.000000004,23438769.67,120250179.98,143688949.65
Sideways,21920000.0,97959922.41000001,52338573.06,150298495.47
Bobby Jones: Stroke of Genius,27400000.000000004,3690877.2700000005,18963.54,3709840.81
Alfie,82200000.0,18357742.44,29675665.900000002,48033408.34
Crash,8905000.0,74775011.0,60046772.57000001,134821783.57000002
Flight of the Phoenix,61650000.00000001,28782576.6,19196874.290000003,47979450.89
Kill Bill: Vol. 2,41100000.0,90705210.71000001,120434799.81,211140010.52
The Merchant of Venice,41100000.0,5158851.45,24378597.89,29537449.340000004
White Chicks,50690000.00000001,97039511.2,57908684.81,154948196.01000002
Saw,1644000.0000000002,76720505.53,65638481.00000001,142358986.53
Seed of Chucky,16440000.000000002,23404712.840000004,10611899.440000001,34016612.28
It's All Gone Pete Tong,2740000.0,165249.40000000002,2074777.32,2240026.72
Malevolence,274000.0,174383.19,180148.15000000002,354531.34
Christmas with the Kranks,82200000.0,101079338.43,31253096.230000004,132332434.66000001
Friday Night Lights,41100000.0,83920611.77000001,951943.1300000001,84872554.9
Super Size Me,89050.0,15804899.510000002,12479787.58,28284687.090000004
The Grudge,13700000.000000002,151192325.94,105382801.61000001,256575127.55
Million Dollar Baby,41100000.0,137674318.11,159291876.91000003,296966195.02000004
Fantastic Four,133000000.0,205745786.4,237857005.82000002,443602792.22
Star Wars: Episode III - Revenge of the Sith,150290000.0,505759867.41,649199577.39,1154959444.8
Cursed,50540000.0,25665704.26,13731186.0,39396890.260000005
Because of Winn-Dixie,18620000.0,43420565.86,1253372.05,44673937.910000004
